ID,stylo_filename,decade,title,author,gnd,forename,surename,birth_year,death_year,gender,filename,pubyear,genre,text_length,sorted_nationality,sources,timeslot,city,corpus
103,Franzos_NovellenumLiebeundEhe_gutenberg.txt,1860.0,Novellen um Liebe und Ehe,Karl Emil Franzos,http://d-nb.info/gnd/118702599,Karl Emil,Franzos,1848,1904,männlich,Franzos_NovellenumLiebeundEhe_gutenberg.txt,1905.0,Novelle,109790,Deutschland; Polen; Österreich,https://www.projekt-gutenberg.org/franzos/liebehe/liebehe.html,1840-1859,vienna,sunset
104,"Gutzkow_DerZauberervonRom,3.Buch.txt",1860.0,"Der Zauberer von Rom, 3. Buch",Karl Gutzkow,http://d-nb.info/gnd/118543830,Karl,Gutzkow,1811,1878,männlich,"Gutzkow_DerZauberervonRom,3.Buch.txt",1863.0,Roman,89523,Deutschland,https://www.projekt-gutenberg.org/gutzkow/zauber3/zauber3.html,1800-1819,vienna,sunset
105,"Gutzkow_DerZauberervonRom,5.Buch.txt",1860.0,"Der Zauberer von Rom, 5. Buch",Karl Gutzkow,http://d-nb.info/gnd/118543830,Karl,Gutzkow,1811,1878,männlich,"Gutzkow_DerZauberervonRom,5.Buch.txt",1863.0,Roman,170046,Deutschland,https://www.projekt-gutenberg.org/gutzkow/zauber5/zauber5.html,1800-1819,vienna,sunset
106,"Gutzkow_DerZauberervonRom,6.Buch.txt",1860.0,"Der Zauberer von Rom, 6. Buch",Karl Gutzkow,http://d-nb.info/gnd/118543830,Karl,Gutzkow,1811,1878,männlich,"Gutzkow_DerZauberervonRom,6.Buch.txt",1863.0,Roman,85170,Deutschland,https://www.projekt-gutenberg.org/gutzkow/zauber6/zauber6.html,1800-1819,vienna,sunset
107,"Gutzkow_DerZauberervonRom,7.Buch.txt",1860.0,"Der Zauberer von Rom, 7. Buch",Karl Gutzkow,http://d-nb.info/gnd/118543830,Karl,Gutzkow,1811,1878,männlich,"Gutzkow_DerZauberervonRom,7.Buch.txt",1863.0,Roman,84481,Deutschland,https://www.projekt-gutenberg.org/gutzkow/zauber7/zauber7.html,1800-1819,vienna,sunset
108,"Gutzkow_DerZauberervonRom,8.Buch.txt",1860.0,"Der Zauberer von Rom, 8. Buch",Karl Gutzkow,http://d-nb.info/gnd/118543830,Karl,Gutzkow,1811,1878,männlich,"Gutzkow_DerZauberervonRom,8.Buch.txt",1863.0,Roman,107887,Deutschland,https://www.projekt-gutenberg.org/gutzkow/zauber8/zauber8.html,1800-1819,vienna,sunset
109,Gutzkow_DieRittervomGeiste_zeno.txt,1830.0,Die Ritter vom Geiste,Karl Gutzkow,http://d-nb.info/gnd/118543830,Karl,Gutzkow,1811,1878,männlich,Gutzkow_DieRittervomGeiste_zeno.txt,1851.0,Roman,759896,Deutschland,"http://www.zeno.org/Literatur/M/Gutzkow,+Karl/Romane/Die+Ritter+vom+Geiste",1800-1819,vienna,sunset
110,Gutzkow_Hohenschwangau.txt,1860.0,Hohenschwangau,Karl Gutzkow,http://d-nb.info/gnd/118543830,Karl,Gutzkow,1811,1878,männlich,Gutzkow_Hohenschwangau.txt,1867.0,Roman,223714,Deutschland,https://www.projekt-gutenberg.org/gutzkow/hohensch/hohensch.html,1800-1819,vienna,sunset
111,May_DerWegzumGlück.FünfterBand.txt,1880.0,Der Weg zum Glück. Fünfter Band,Karl May,http://d-nb.info/gnd/118818651,Karl,May,1842,1912,männlich,May_DerWegzumGlück.FünfterBand.txt,1886.0,Roman,167388,Deutschland,https://www.projekt-gutenberg.org/may/wegglue5/wegglue5.html,1840-1859,vienna,sunset
112,May_DerWegzumGlück.SechsterBand.txt,1880.0,Der Weg zum Glück. Sechster Band,Karl May,http://d-nb.info/gnd/118818651,Karl,May,1842,1912,männlich,May_DerWegzumGlück.SechsterBand.txt,1886.0,Roman,144241,Deutschland,https://www.projekt-gutenberg.org/may/wegglue6/wegglue6.html,1840-1859,vienna,sunset
